"School","Conference"
"Wisconsin-Stout","Wisconsin"
"Wisconsin-Whitewater","Wisconsin"
"Wittenberg","North Coast"
"Wofford","Southern"
"Wooster","North Coast"
"Worcester Polytechnic Institute","NEWMAC"
"Worcester St","MSCAC"
"Wyoming","Mountain West"
"Yale","Ivy"
"Youngstown State","MVFC"
"Belhaven","American Southwest"
"Chowan","CIAA"
"Finlandia University","Independent DIII"
"Kean","New Jersey"
"Knox College","Midwest"
"Lakeland","NACC"
"Lane College","SIAC"
"Loras College","American Rivers"
"McKendree","Great Lakes"
"MIT","NEWMAC"
"Nebraska Wesleyan","American Rivers"
"Shorter","Gulf South"
"Sioux Falls","Northern Sun"
"Southwestern University","American Southwest"
"Thiel","Presidents'"
"Tiffin","GLIAC"
"University of Mary","Northern Sun"
"Virginia Union","CIAA"
