"School","Conference"
"Indiana","Big Ten"
"Indiana-Pennsylvania","Pennsylvania State Athletic"
"Indianapolis","Great Lakes"
"Indiana State","MVFC"
"Iowa","Big Ten"
"Iowa State","Big 12"
"Ithaca College","Liberty League"
"Jackson State","SWAC"
"Jacksonville State","Conference USA"
"James Madison","Sun Belt"
"John Carroll University","Ohio"
"Johns Hopkins University","Centennial"
"Johnson C Smith","CIAA"
"Juniata College","Landmark Conference"
"Kalamazoo","Michigan"
"Kansas","Big 12"
"Kansas State","Big 12"
"Kennesaw State","FCS Independents"
"Kent State","Mid-American"
"Kentucky","SEC"
"Kentucky State","SIAC"
"Kentucky Wesleyan","Great Midwest Athletic"
"Kenyon","North Coast"
"Keystone","Landmark Conference"
"Kings College (PA)","Mid Atlantic"
"Kutztown University","Pennsylvania State Athletic"
"Lafayette","Patriot"
"Lagrange College","USA South"
"Lake Erie","Great Midwest Athletic"
"Lake Forest College","Midwest"
"Lamar","Southland"
"La Verne","So. Cal."
"Lawrence University","Midwest"
"Lebanon Valley","Mid Atlantic"
"Lehigh","Patriot"
"Lenoir-Rhyne","South Atlantic"
"Lewis & Clark College","Northwest"
"Liberty","Conference USA"
"Limestone","South Atlantic"
"Lincoln (MO)","Independent DII"
"Lincoln (PA)","CIAA"
"Lindenwood","Big South-OVC"
"Linfield College","Northwest"
"Livingstone","CIAA"
"Lock Haven University","Pennsylvania State Athletic"
"Long Island University","NEC"
"Louisiana","Sun Belt"
"Louisiana Tech","Conference USA"
"Louisville","ACC"
"LSU","SEC"
"Luther","American Rivers"
"Lycoming","Landmark Conference"
"Macalester","Minnesota"
"Maine","CAA"
"Manchester","Heartland"
"Marietta","Ohio"
"Marist","Pioneer"
"Marshall","Sun Belt"
"Mars Hill","South Atlantic"
"Martin Luther","Upper Midwest"
"Mary Hardin-Baylor","American Southwest"
"Maryland","Big Ten"
"Maryville College (TN)","USA South"
"Massachusetts","FBS Independents"
"Mass Maritime","MSCAC"
"McDaniel College","Centennial"
"McMurry","American Southwest"
"McNeese","Southland"
"Memphis","American Athletic"
"Mercer","Southern"
"Merchant Marine Academy","NEWMAC"
"Mercyhurst","Pennsylvania State Athletic"
"Merrimack","NEC"
"Methodist","USA South"
"Miami","ACC"
"Miami (OH)","Mid-American"
"Michigan","Big Ten"
"Michigan State","Big Ten"
"Michigan Tech","GLIAC"
"Middlebury","NESCAC"
"Middle Tennessee","Conference USA"
"Midwestern State","Lone Star"
"Miles College","SIAC"
"Millersville","Pennsylvania State Athletic"
"Millikin","CCIW"
"Millsaps","Southern Athletic"
"Minnesota","Big Ten"
"Minnesota Duluth","Northern Sun"
"Minnesota Morris","Upper Midwest"
"Minnesota State Mankato","Northern Sun"
"Minnesota State Moorhead","Northern Sun"
"Minot State","Northern Sun"
"Misericordia","Mid Atlantic"
"Mississippi College","Gulf South"
"Mississippi State","SEC"
"Mississippi Valley State","SWAC"
"Missouri","SEC"
"Missouri Southern State","Mid America"
"Missouri S&T","Great Lakes"
"Missouri State","MVFC"
"Missouri Western","Mid America"
"Monmouth","CAA"
"Monmouth (IL)","Midwest"
"Montana","Big Sky"
"Montana State","Big Sky"
"Montclair State","New Jersey"
"Moravian","Landmark Conference"
"Morehead State","Pioneer"
"Morehouse College","SIAC"
"Morgan State","MEAC"
"Mount Ida College","ECFC"
"Mount St. Joseph","Heartland"
"Muhlenberg","Centennial"
"Murray State","MVFC"
"Muskingum University","Ohio"
"Navy","American Athletic"
"NC State","ACC"
"Nebraska","Big Ten"
"Nebraska-Kearney","Mid America"
"Nevada","Mountain West"
"NEWBERG","Northwest"
"Newberry","South Atlantic"
"New Hampshire","CAA"
"New Haven","Northeast 10"
"New Mexico","Mountain West"
"New Mexico Highlands","Rocky Mountain"
"New Mexico State","Conference USA"
"Nicholls","Southland"
"Nichols College","Commonwealth Coast"
"Norfolk State","MEAC"
"North Alabama","UAC"
"North Carolina","ACC"
"North Carolina A&T","CAA"
"North Carolina Central","MEAC"
"North Carolina Wesleyan","USA South"
"North Central College","CCIW"
"North Dakota","MVFC"
"North Dakota State","MVFC"
"Northeastern State","Mid America"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Illinois","Mid-American"
"Northern Iowa","MVFC"
"Northern Michigan","GLIAC"
"Northern State","Northern Sun"
"North Greenville","Gulf South"
"North Park","CCIW"
"North Texas","American Athletic"
"Northwestern","Big Ten"
"Northwestern (MN)","Upper Midwest"
"Northwestern Oklahoma State","Great American"
"Northwestern State","Southland"
"Northwest Missouri St","Mid America"
"Northwood (MI)","Great Midwest Athletic"
"Norwich","NEWMAC"
"Notre Dame","FBS Independents"
"Notre Dame College","Mountain East"
"Oberlin","North Coast"
"Occidental","So. Cal."
"Ohio","Mid-American"
"Ohio Dominican","Great Midwest Athletic"
"Ohio Northern","Ohio"
"Ohio State","Big Ten"
"Ohio Wesleyan","North Coast"
"Oklahoma","Big 12"
"Oklahoma Baptist","Great American"
"Oklahoma Panhandle St","Independent DII"
"Oklahoma State","Big 12"
"Old Dominion","Sun Belt"
"Ole Miss","SEC"
"Olivet College","Michigan"
"Oregon","Pac-12"
"Oregon State","Pac-12"
"Otterbein","Ohio"
"Ouachita Baptist","Great American"
"Pace","Northeast 10"
"Pacific Lutheran","Northwest"
"Pacific (OR)","Northwest"
"Penn State","Big Ten"
"Pennsylvania","Ivy"
"PennWest California","Pennsylvania State Athletic"
"Pittsburgh","ACC"
"Pittsburg St","Mid America"
"Plymouth State","MSCAC"
"Pomona Pitzer","So. Cal."
"Portland State","Big Sky"
"Post University","Independent DII"
"Prairie View A&M","SWAC"
"Presbyterian","Pioneer"
"Princeton","Ivy"
"Puget Sound","Northwest"
"Purdue","Big Ten"
"Quincy","Great Lakes"
"Randolph-Macon","Old Dominion"
"Reading","Mid Atlantic"
"Redlands","So. Cal."
"Rensselaer","Liberty League"
"Rhode Island","CAA"
"Rhodes College","Southern Athletic"
"Rice","American Athletic"
"Richmond","CAA"
"Ripon","Midwest"
"Robert Morris","Big South-OVC"
"Rockford","NACC"
"Rose-Hulman","Heartland"
"Rowan","New Jersey"
"Rutgers","Big Ten"
"Sacramento State","Big Sky"
"Sacred Heart","NEC"
"Saginaw Valley State","GLIAC"
"Saint John's (MN)","Minnesota"
"Saint Vincent","Presidents'"
"Salisbury","New Jersey"
"Salve Regina","Commonwealth Coast"
"Samford","Southern"
"Sam Houston","Conference USA"
"San Diego","Pioneer"
"San Diego State","Mountain West"
"San José State","Mountain West"
"Savannah St","SIAC"
"SE Louisiana","Southland"
"Seton Hill","Pennsylvania State Athletic"
"Sewanee","Southern Athletic"
"Shaw","CIAA"
"Shenandoah","Old Dominion"
"Shepherd","Pennsylvania State Athletic"
"Shippensburg","Pennsylvania State Athletic"
"Simon Fraser","Lone Star"
"Simpson College (IA)","American Rivers"
"Slippery Rock","Pennsylvania State Athletic"
"SMU","American Athletic"
"South Alabama","Sun Belt"
"South Carolina","SEC"
"South Carolina State","MEAC"
"South Dakota","MVFC"
"South Dakota Mines","Rocky Mountain"
"South Dakota State","MVFC"
"Southeastern Oklahoma State","Great American"
"Southeast Missouri State","Big South-OVC"
"Southern","SWAC"
"Southern Arkansas","Great American"
"Southern Connecticut State","Northeast 10"
"Southern Illinois","MVFC"
"Southern Miss","Sun Belt"
"Southern Nazarene","Great American"
"Southern Utah","UAC"
"Southern Virginia","USA South"
"South Florida","American Athletic"
"Southwest Baptist","Great Lakes"
"Southwestern Oklahoma State","Great American"
"Southwest Minnesota State","Northern Sun"
"Springfield","NEWMAC"
"Stanford","Pac-12"
"St. Anselm","Northeast 10"
"St. Augustine's","CIAA"
"Stephen F. Austin","UAC"
"Stetson","Pioneer"
"Stevenson","Mid Atlantic"
"St. Francis (PA)","NEC"
"St John Fisher University","Empire 8"
"St. Joseph's (IN)","Great Lakes"
"St. Lawrence","Liberty League"
"St. Norbert","NACC"
"St. Olaf","Minnesota"
"Stonehill","NEC"
"Stony Brook","CAA"
"St. Scholastica","Minnesota"
"St. Thomas (MN)","Pioneer"
"Sul Ross State","American Southwest"
"SUNY Maritime","NEWMAC"
"SUNY Morrisville","Empire 8"
"Susquehanna","Landmark Conference"
"Syracuse","ACC"
"Tarleton State","UAC"
"TCU","Big 12"
"Temple","American Athletic"
"Tennessee","SEC"
"Tennessee State","Big South-OVC"
"Tennessee Tech","Big South-OVC"
"Texas","Big 12"
"Texas A&M","SEC"
"Texas A&M-Kingsville","Lone Star"
"Texas Lutheran","American Southwest"
"Texas Southern","SWAC"
"Texas State","Sun Belt"
"Texas Tech","Big 12"
"The Citadel","Southern"
"Tiffin University","Great Midwest Athletic"
"Toledo","Mid-American"
"Towson","CAA"
"Trine University","Michigan"
"Trinity (CT)","NESCAC"
"Trinity University TX","Southern Athletic"
"Troy","Sun Belt"
"Truman State","Great Lakes"
"Tufts","NESCAC"
"Tulane","American Athletic"
"Tulsa","American Athletic"
"Tuskegee","SIAC"
"UAB","American Athletic"
"UAlbany","CAA"
"UC Davis","Big Sky"
"UCF","Big 12"
"UCLA","Pac-12"
"UConn","FBS Independents"
"UL Monroe","Sun Belt"
"UMass Dartmouth","MSCAC"
"UNC Pembroke","Mountain East"
"Union (NY)","Liberty League"
"University Of Charleston (WV)","Mountain East"
"University of Mount Union","Ohio"
"University of Rochester (NY)","Liberty League"
"UNLV","Mountain West"
"Upper Iowa University","Northern Sun"
"Ursinus","Centennial"
"USC","Pac-12"
"Utah","Pac-12"
"Utah State","Mountain West"
"Utah Tech","UAC"
"UTEP","Conference USA"
"Utica","Empire 8"
"UT Martin","Big South-OVC"
"UT Permian Basin","Lone Star"
"UTSA","American Athletic"
"UVA Wise","South Atlantic"
"Valdosta State","Gulf South"
"Valparaiso","Pioneer"
"Vanderbilt","SEC"
"Villanova","CAA"
"Virginia","ACC"
"Virginia St","CIAA"
"Virginia Tech","ACC"
"VMI","Southern"
"Wabash College","North Coast"
"Wagner","NEC"
"Wake Forest","ACC"
"Walsh","Great Midwest Athletic"
"Wartburg","American Rivers"
"Washburn","Mid America"
"Washington","Pac-12"
"Washington and Lee","Old Dominion"
"Washington & Jefferson","Presidents'"
"Washington State","Pac-12"
"Washington University (St. Louis)","CCIW"
"Waynesburg","Presidents'"
"Wayne State (MI)","GLIAC"
"Wayne State (NE)","Northern Sun"
"Weber State","Big Sky"
"Wesleyan University (CT)","NESCAC"
"West Alabama","Gulf South"
"West Chester","Pennsylvania State Athletic"
"Western Carolina","Southern"
"Western Colorado","Rocky Mountain"
"Western Connecticut St","MSCAC"
"Western Illinois","MVFC"
"Western Kentucky","Conference USA"
"Western Michigan","Mid-American"
"Western New England","Commonwealth Coast"
"Western New Mexico","Lone Star"
"Western Oregon","Lone Star"
"Westfield State","MSCAC"
"West Florida","Gulf South"
"West Georgia","Gulf South"
"West Liberty","Mountain East"
"Westminster College (MO)","Upper Midwest"
"Westminster (PA)","Presidents'"
"West Texas A&M","Lone Star"
"West Virginia","Big 12"
"West Virginia State","Mountain East"
"West Virginia Wesleyan","Mountain East"
"Wheaton","CCIW"
"Wheeling","Mountain East"
"Whittier","So. Cal."
"Whitworth","Northwest"
"Widener","Mid Atlantic"
"Wilkes","Landmark Conference"
"Willamette","Northwest"
"William Jewell","Great Lakes"
"William & Mary","CAA"
"William Paterson","New Jersey"
"Williams","NESCAC"
"Wilmington (OH)","Ohio"
"Wilson","South Atlantic"
"Wingate","South Atlantic"
"Winona State","Northern Sun"
"Winston-Salem","CIAA"
"Wisconsin","Big Ten"
"Wisconsin-Eau Claire","Wisconsin"
"Wisconsin-Lacrosse","Wisconsin"
"Wisconsin-Lutheran","NACC"
"Wisconsin-Oshkosh","Wisconsin"
"Wisconsin-Platteville","Wisconsin"
"Wisconsin-River Falls","Wisconsin"
"Wisconsin-Stevens Pt","Wisconsin"
"Wisconsin-Stout","Wisconsin"
"Wisconsin-Whitewater","Wisconsin"
"Wittenberg","North Coast"
"Wofford","Southern"
"Wooster","North Coast"
"Worcester Polytechnic Institute","NEWMAC"
"Worcester St","MSCAC"
"Wyoming","Mountain West"
"Yale","Ivy"
"Youngstown State","MVFC"
"Belhaven","USA South"
"Chowan","Gulf South"
"Finlandia University","Upper Midwest"
"Kean","New Jersey"
"Knox College","Midwest"
"Lakeland","NACC"
"Lane College","SIAC"
"Loras College","American Rivers"
"McKendree","Great Lakes"
"MIT","NEWMAC"
"Nebraska Wesleyan","American Rivers"
"Shorter","Gulf South"
"Sioux Falls","Northern Sun"
"Southwestern University","Southern Athletic"
"Thiel","Presidents'"
"Tiffin","Great Midwest Athletic"
"University of Mary","Northern Sun"
"Virginia Union","CIAA"
