"School","Conference"
"Jacksonville","Pioneer"
"Jacksonville State","OVC"
"James Madison","CAA"
"Kansas","Big 12"
"Kansas State","Big 12"
"Kent State","Mid-American"
"Kentucky","SEC"
"Lafayette","Patriot"
"Lamar","Southland"
"Lehigh","Patriot"
"Liberty","Big South"
"Long Island University","NEC"
"Louisiana","Sun Belt"
"Louisiana Tech","Conference USA"
"Louisville","American Athletic"
"LSU","SEC"
"Maine","CAA"
"Marist","Pioneer"
"Marshall","Conference USA"
"Maryland","ACC"
"Massachusetts","Mid-American"
"McNeese","Southland"
"Memphis","American Athletic"
"Mercer","Pioneer"
"Miami","ACC"
"Miami (OH)","Mid-American"
"Michigan","Big Ten"
"Michigan State","Big Ten"
"Middle Tennessee","Conference USA"
"Minnesota","Big Ten"
"Mississippi State","SEC"
"Mississippi Valley State","SWAC"
"Missouri","SEC"
"Missouri State","MVFC"
"Monmouth","FCS Independents"
"Montana","Big Sky"
"Montana State","Big Sky"
"Morehead State","Pioneer"
"Morgan State","MEAC"
"Murray State","OVC"
"Navy","FBS Independents"
"NC State","ACC"
"Nebraska","Big Ten"
"Nevada","Mountain West"
"New Hampshire","CAA"
"New Mexico","Mountain West"
"New Mexico State","FBS Independents"
"Nicholls","Southland"
"Norfolk State","MEAC"
"North Carolina","ACC"
"North Carolina A&T","MEAC"
"North Carolina Central","MEAC"
"North Dakota","Big Sky"
"North Dakota State","MVFC"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Illinois","Mid-American"
"Northern Iowa","MVFC"
"North Texas","Conference USA"
"Northwestern","Big Ten"
"Northwestern State","Southland"
"Notre Dame","FBS Independents"
"Ohio","Mid-American"
"Ohio State","Big Ten"
"Oklahoma","Big 12"
"Oklahoma State","Big 12"
"Ole Miss","SEC"
"Oregon","Pac-12"
"Oregon State","Pac-12"
"Penn State","Big Ten"
"Pennsylvania","Ivy"
"Pittsburgh","ACC"
"Portland State","Big Sky"
"Prairie View A&M","SWAC"
"Presbyterian","Big South"
"Princeton","Ivy"
"Purdue","Big Ten"
"Rhode Island","CAA"
"Rice","Conference USA"
"Richmond","CAA"
"Robert Morris","NEC"
"Rutgers","American Athletic"
"Sacramento State","Big Sky"
"Sacred Heart","NEC"
"Samford","Southern"
"Sam Houston","Southland"
"San Diego","Pioneer"
"San Diego State","Mountain West"
"San José State","Mountain West"
"Savannah St","MEAC"
"SE Louisiana","Southland"
"SMU","American Athletic"
"South Alabama","Sun Belt"
"South Carolina","SEC"
"South Carolina State","MEAC"
"South Dakota","MVFC"
"South Dakota State","MVFC"
"Southeast Missouri State","OVC"
"Southern","SWAC"
"Southern Illinois","MVFC"
"Southern Miss","Conference USA"
"Southern Utah","Big Sky"
"South Florida","American Athletic"
"Stanford","Pac-12"
"Stephen F. Austin","Southland"
"Stetson","Pioneer"
"St. Francis (PA)","NEC"
"Stony Brook","CAA"
"Syracuse","ACC"
"TCU","Big 12"
"Temple","American Athletic"
"Tennessee","SEC"
"Tennessee State","OVC"
"Tennessee Tech","OVC"
"Texas","Big 12"
"Texas A&M","SEC"
"Texas Southern","SWAC"
"Texas State","Sun Belt"
"Texas Tech","Big 12"
"The Citadel","Southern"
"Toledo","Mid-American"
"Towson","CAA"
"Troy","Sun Belt"
"Tulane","Conference USA"
"Tulsa","Conference USA"
"UAB","Conference USA"
"UAlbany","CAA"
"UC Davis","Big Sky"
"UCF","American Athletic"
"UCLA","Pac-12"
"UConn","American Athletic"
"UL Monroe","Sun Belt"
"UNLV","Mountain West"
"USC","Pac-12"
"Utah","Pac-12"
"Utah State","Mountain West"
"UTEP","Conference USA"
"UT Martin","OVC"
"UTSA","Conference USA"
"Valparaiso","Pioneer"
"Vanderbilt","SEC"
"Villanova","CAA"
"Virginia","ACC"
"Virginia Tech","ACC"
"VMI","Big South"
"Wagner","NEC"
"Wake Forest","ACC"
"Washington","Pac-12"
"Washington State","Pac-12"
"Weber State","Big Sky"
"Western Carolina","Southern"
"Western Illinois","MVFC"
"Western Kentucky","Sun Belt"
"Western Michigan","Mid-American"
"West Virginia","Big 12"
"William & Mary","CAA"
"Winston-Salem","CIAA"
"Wisconsin","Big Ten"
"Wofford","Southern"
"Wyoming","Mountain West"
"Yale","Ivy"
"Youngstown State","MVFC"
