year,Team,Predicted Rank,Actual Rank
2023,northwestern,18,
2023,northwestern,19,
2023,kansas st.,20,
2023,texas a&m,21,
2023,liberty,22,18
2023,south alabama,23,
2023,ohio,24,
2023,arizona,25,14
2023,southern california,26,
2023,memphis,27,
2023,rutgers,28,
2023,pittsburgh,29,
2023,louisiana tech,30,
2023,air force,31,
2023,north texas,32,
2023,virginia tech,33,
2023,army,34,
2023,louisville,35,16
2023,toledo,36,
2023,florida,37,
2023,mississippi state,38,
2023,san jose state,39,
2023,nebraska,40,
2023,bowling green,41,
2023,north carolina,42,
2023,wyoming,43,
2023,akron,44,
2023,fresno st.,45,
2023,central florida,46,
2023,arkansas,47,
2023,ball state,48,
2023,boston college,49,
2023,colorado,50,
2023,umass,51,
2023,niu,52,
2023,miami,53,
2023,south carolina,54,
2023,troy university,55,
2023,iowa,56,20
2023,miami,57,
2023,sam houston,58,
2023,nevada-las vegas,59,
2023,miami,60,
2023,iowa st.,61,
2023,illinois,62,
2023,auburn,63,
2023,texas st.,64,
2023,texas-el paso,65,
2023,miami,66,
2023,navy,67,
2023,utah,68,
2023,texas-san antonio,69,
2023,kansas,70,
2023,maryland,71,
2023,new mexico,72,
2023,east carolina,73,
2023,stanford,74,
2023,oregon state,75,
2023,coastal carolina,76,
2023,south fla.,77,
2023,charlotte,78,
2023,georgia tech,79,
2023,tcu,80,
2023,hawaii,81,
2023,jacksonville st.,82,
2023,utah st.,83,
2023,new mexico st.,84,
2023,arizona state,85,
2023,michigan st.,86,
2023,western michigan,87,
2023,wisconsin,88,
2023,cincinnati,89,
2023,washington st.,90,
2023,buffalo,91,
2023,eastern mich.,92,
2023,louisiana-lafayette,93,
2023,southern miss,94,
2023,houston,95,
2023,baylor,96,
2023,north carolina state,97,19
2023,kent state,98,
2023,syracuse,99,
2023,nevada,100,
2023,florida atlantic,101,
2023,rice,102,
2023,duke,103,
2023,kentucky,104,
2023,virginia,105,
2023,minnesota,106,
2023,west virginia,107,
2023,central michigan,108,
2023,wake forest,109,
2023,old dominion,110,
2023,colorado st.,111,
2023,temple,112,
2023,boise st.,113,
2023,purdue,114,
2023,middle tennessee,115,
2023,oklahoma state,116,
2023,san diego state,117,
2023,alabama-birmingham,118,
2023,texas tech,119,
2023,clemson,120,22
2023,western ky.,121,
2023,tulsa,122,
2023,app state,123,
2023,ga. southern,124,
2023,arkansas state,125,
2023,connecticut,126,
2023,byu,127,
2023,georgia state,128,
2023,marshall,129,
2023,tennessee,130,25
2023,fiu,131,
2023,california,132,
2023,vanderbilt,133,
2023,indiana,134,
2023,james madison,135,24
2023,ulm,136,
2023,tulane,137,23
