year,Team,Predicted Rank (RFE),Actual Rank
2016,texas-el paso,80,
2016,texas-san antonio,81,
2016,central michigan,82,
2016,indiana,83,
2016,northern ill.,84,
2016,smu,85,
2016,illinois,86,
2016,eastern mich.,87,
2016,kansas,88,
2016,new mexico st.,89,
2016,nebraska,90,21
2016,charlotte,91,
2016,mississippi state,92,
2016,ole miss,93,
2016,iowa,94,25
2016,kentucky,95,
2016,la.-monroe,96,
2016,syracuse,97,
2016,east carolina,98,
2016,maryland,99,
2016,connecticut,100,
2016,north carolina state,101,
2016,duke,102,
2016,marshall,103,
2016,rutgers,104,
2016,tennessee,105,21
2016,ball state,106,
2016,akron,107,
2016,florida atlantic,108,
2016,ohio,109,
2016,umass,110,
2016,temple,111,24
2016,tcu,112,
2016,arizona,113,
2016,bowling green,114,
2016,buffalo,115,
2016,north texas,116,
2016,texas st.,117,
2016,arkansas,118,
2016,utah,119,23
2017,georgia,1,3
2017,clemson,2,1
2017,alabama,3,4
2017,oklahoma,4,2
2017,ohio st.,5,
2017,penn state,6,
2017,central florida,7,10
2017,wisconsin,8,6
2017,auburn,9,8
2017,florida atlantic,10,
2017,tcu,11,13
2017,oklahoma state,12,
2017,miami,13,11
2017,miami,14,11
2017,washington,15,12
2017,miami,16,11
2017,miami,17,11
2017,appalachian st.,18,
2017,michigan st.,19,
2017,lsu,20,14
2017,troy university,21,
2017,texas-san antonio,22,
2017,south fla.,23,
2017,notre dame,24,15
2017,wake forest,25,
2017,florida,26,
2017,georgia tech,27,
2017,purdue,28,
2017,fresno st.,29,
2017,memphis,30,18
2017,arizona,31,
2017,army,32,
2017,south carolina,33,
2017,wyoming,34,
2017,stanford,35,16
2017,buffalo,36,
2017,indiana,37,
2017,texas tech,38,
2017,tulane,39,
2017,san diego state,40,
2017,boston college,41,
2017,washington st.,42,
2017,michigan,43,
2017,eastern mich.,44,
2017,alabama-birmingham,45,
2017,arkansas state,46,
2017,toledo,47,
2017,ohio,48,
2017,boise st.,49,
2017,louisiana tech,50,
2017,florida state,51,
2017,colorado st.,52,
2017,kentucky,53,
2017,iowa,54,
2017,mississippi state,55,
2017,missouri,56,
2017,utah,57,
2017,air force,58,
2017,houston,59,
2017,colorado,60,
2017,louisiana-lafayette,61,
2017,fiu,62,
2017,western michigan,63,
2017,ole miss,64,
2017,oregon,65,
2017,louisville,66,
2017,southern miss,67,
2017,kansas,68,
2017,kansas st.,69,
2017,idaho,70,
2017,virginia,71,
2017,minnesota,72,
2017,duke,73,
2017,iowa st.,74,
2017,northern ill.,75,
2017,smu,76,
2017,ucla,77,
2017,southern california,78,
2017,utah st.,79,
2017,bowling green,80,
2017,middle tennessee,81,
2017,north texas,82,
2017,new mexico st.,83,
2017,pittsburgh,84,
2017,akron,85,
2017,cincinnati,86,
2017,byu,87,
2017,arizona state,88,
2017,south alabama,89,
2017,marshall,90,
2017,nevada-las vegas,91,
2017,temple,92,
2017,oregon state,93,
2017,arkansas,94,
2017,central michigan,95,
2017,syracuse,96,
2017,texas,97,
2017,tulsa,98,
2017,navy,99,
2017,virginia tech,100,22
2017,connecticut,101,
2017,baylor,102,
2017,illinois,103,
2017,vanderbilt,104,
2017,nevada,105,
2017,nebraska,106,
2017,ga. southern,107,
2017,umass,108,
2017,western ky.,109,
2017,california,110,
2017,kent state,111,
2017,maryland,112,
2017,new mexico,113,
2017,georgia state,114,
2017,texas st.,115,
2017,east carolina,116,
2017,la.-monroe,117,
2017,texas a&m,118,
2017,northwestern,119,20
2017,northwestern,120,20
2017,texas-el paso,121,
2017,san jose state,122,
2017,north carolina,123,
2017,tennessee,124,
2017,hawaii,125,
2017,rutgers,126,
2017,rice,127,
2017,ball state,128,
2017,old dominion,129,
2017,north carolina state,130,24
2017,west virginia,131,
2017,charlotte,132,
2018,clemson,1,1
2018,georgia,2,3
2018,alabama,3,4
2018,oklahoma,4,2
2018,fresno st.,5,
2018,utah st.,6,
2018,ohio st.,7,
2018,auburn,8,8
2018,central florida,9,10
2018,ohio,10,
2018,miami,11,11
2018,miami,12,11
2018,florida,13,
2018,southern miss,14,
2018,cincinnati,15,
2018,appalachian st.,16,
2018,alabama-birmingham,17,
2018,army,18,
2018,syracuse,19,
2018,penn state,20,
2018,iowa,21,
2018,houston,22,
2018,mississippi state,23,
2018,maryland,24,
2018,washington st.,25,
2018,tcu,26,13
2018,virginia,27,
2018,lsu,28,14
2018,michigan,29,
2018,wisconsin,30,6
2018,notre dame,31,15
2018,toledo,32,
2018,miami,33,11
2018,miami,34,11
2018,tennessee,35,
2018,ga. southern,36,
2018,west virginia,37,
2018,louisiana tech,38,
2018,byu,39,
2018,fiu,40,
2018,stanford,41,16
2018,ole miss,42,
2018,memphis,43,18
2018,northern ill.,44,
2018,akron,45,
2018,troy university,46,
2018,arizona state,47,
2018,boise st.,48,
2018,oregon,49,
2018,georgia tech,50,
2018,air force,51,
2018,california,52,
2018,arkansas state,53,
2018,utah,54,
2018,washington,55,12
2018,coastal caro.,56,
2018,michigan st.,57,
2018,iowa st.,58,
2018,buffalo,59,
2018,navy,60,
2018,kentucky,61,
2018,missouri,62,
2018,wyoming,63,
2018,kent state,64,
2018,indiana,65,
2018,kansas,66,
2018,oklahoma state,67,
2018,boston college,68,
2018,central michigan,69,
2018,charlotte,70,
2018,western ky.,71,
2018,eastern mich.,72,
2018,purdue,73,
2018,louisiana-lafayette,74,
2018,tulane,75,
2018,illinois,76,
2018,kansas st.,77,
2018,tulsa,78,
2018,ucla,79,
2018,san diego state,80,
2018,wake forest,81,
2018,texas,82,
2018,east carolina,83,
2018,bowling green,84,
2018,texas tech,85,
2018,southern california,86,
2018,temple,87,
2018,texas a&m,88,
2018,texas st.,89,
2018,vanderbilt,90,
2018,north texas,91,
2018,nebraska,92,
2018,north carolina,93,
2018,florida state,94,
2018,pittsburgh,95,
2018,hawaii,96,
2018,minnesota,97,
2018,smu,98,
2018,ball state,99,
2018,nevada-las vegas,100,
2018,arizona,101,
2018,new mexico st.,102,
2018,marshall,103,
2018,nevada,104,
2018,colorado,105,
2018,rice,106,
2018,northwestern,107,20
2018,northwestern,108,20
2018,colorado st.,109,
2018,texas-san antonio,110,
2018,connecticut,111,
2018,umass,112,
2018,middle tennessee,113,
2018,baylor,114,
2018,duke,115,
2018,south alabama,116,
2018,rutgers,117,
2018,florida atlantic,118,
2018,louisville,119,
2018,san jose state,120,
2018,western michigan,121,
2018,texas-el paso,122,
2018,south fla.,123,
2018,old dominion,124,
2018,virginia tech,125,22
2018,south carolina,126,
2018,georgia state,127,
2018,new mexico,128,
2018,oregon state,129,
2018,la.-monroe,130,
2018,arkansas,131,
2018,north carolina state,132,24
2019,clemson,1,1
2019,oklahoma,2,2
2019,ohio st.,3,
2019,georgia,4,3
2019,appalachian st.,5,
2019,alabama,6,4
2019,utah,7,
2019,central florida,8,10
2019,oregon,9,
2019,louisiana-lafayette,10,
2019,auburn,11,8
2019,lsu,12,14
2019,wisconsin,13,6
2019,miami,14,11
2019,miami,15,11
2019,washington,16,12
2019,baylor,17,
2019,miami,18,11
2019,miami,19,11
2019,notre dame,20,15
2019,florida,21,
2019,penn state,22,
2019,smu,23,
2019,florida atlantic,24,
2019,kentucky,25,
2019,iowa,26,
2019,north carolina,27,
2019,hawaii,28,
2019,oregon state,29,
2019,kansas st.,30,
2019,buffalo,31,
2019,wake forest,32,
2019,san diego state,33,
2019,minnesota,34,
2019,arizona state,35,
2019,texas,36,
2019,army,37,
2019,navy,38,
2019,memphis,39,18
2019,tennessee,40,
2019,stanford,41,16
2019,san jose state,42,
2019,tcu,43,13
2019,south carolina,44,
2019,missouri,45,
2019,michigan st.,46,
2019,nebraska,47,
2019,air force,48,
2019,alabama-birmingham,49,
2019,tulane,50,
2019,texas tech,51,
2019,northern ill.,52,
2019,western ky.,53,
2019,purdue,54,
2019,ball state,55,
2019,syracuse,56,
2019,middle tennessee,57,
2019,texas a&m,58,
2019,southern california,59,
2019,oklahoma state,60,
2019,ga. southern,61,
2019,georgia state,62,
2019,wyoming,63,
2019,charlotte,64,
2019,central michigan,65,
2019,colorado st.,66,
2019,virginia,67,
2019,california,68,
2019,fiu,69,
2019,south fla.,70,
2019,louisiana tech,71,
2019,boise st.,72,
2019,duke,73,
2019,troy university,74,
2019,tulsa,75,
2019,indiana,76,
2019,illinois,77,
2019,fresno st.,78,
2019,iowa st.,79,
2019,washington st.,80,
2019,michigan,81,
2019,kent state,82,
2019,marshall,83,
2019,texas-el paso,84,
2019,kansas,85,
2019,coastal carolina,86,
2019,colorado,87,
2019,ohio,88,
2019,pittsburgh,89,
2019,south alabama,90,
2019,umass,91,
2019,temple,92,
2019,boston college,93,
2019,ole miss,94,
2019,nevada-las vegas,95,
2019,east carolina,96,
2019,northwestern,97,20
2019,northwestern,98,20
2019,louisville,99,
2019,western michigan,100,
2019,texas-san antonio,101,
2019,north texas,102,
2019,arkansas,103,
2019,eastern mich.,104,
2019,cincinnati,105,
2019,liberty,106,
2019,texas st.,107,
2019,florida state,108,
2019,rice,109,
2019,arizona,110,
2019,west virginia,111,
2019,new mexico,112,
2019,virginia tech,113,22
2019,georgia tech,114,
2019,old dominion,115,
2019,north carolina state,116,24
2019,mississippi state,117,
2019,arkansas state,118,
2019,akron,119,
2019,houston,120,
2019,ucla,121,
2019,byu,122,
2019,maryland,123,
2019,southern miss,124,
2019,nevada,125,
2019,toledo,126,
2019,vanderbilt,127,
2019,connecticut,128,
2019,new mexico st.,129,
2019,la.-monroe,130,
2019,bowling green,131,
2019,rutgers,132,
2019,utah st.,133,
2020,alabama,1,4
2020,georgia,2,3
2020,byu,3,
2020,wisconsin,4,6
2020,texas a&m,5,
2020,auburn,6,8
2020,indiana,7,
2020,ohio,8,
2020,miami,9,11
2020,miami,10,11
2020,iowa,11,
2020,washington,12,12
2020,central florida,13,10
2020,southern california,14,
2020,toledo,15,
2020,miami,16,11
2020,miami,17,11
2020,west virginia,18,
2020,ohio st.,19,
2020,cincinnati,20,
2020,oregon,21,
2020,central michigan,22,
2020,washington st.,23,
2020,clemson,24,1
2020,arizona state,25,
2020,san jose state,26,
2020,wyoming,27,
2020,wake forest,28,
2020,utah,29,
2020,michigan,30,
2020,nevada,31,
2020,oklahoma,32,2
2020,liberty,33,
2020,colorado,34,
2020,rice,35,
2020,charlotte,36,
2020,smu,37,
2020,new mexico,38,
2020,ball state,39,
2020,tcu,40,13
2020,minnesota,41,
2020,alabama-birmingham,42,
2020,ucla,43,
2020,purdue,44,
2020,california,45,
2020,air force,46,
2020,coastal carolina,47,
2020,kent state,48,
2020,arizona,49,
2020,tulsa,50,
2020,san diego state,51,
2020,boise st.,52,
2020,eastern mich.,53,
2020,fresno st.,54,
2020,buffalo,55,
2020,oklahoma state,56,
2020,marshall,57,
2020,maryland,58,
2020,notre dame,59,15
2020,oregon state,60,
2020,fiu,61,
2020,northern ill.,62,
2020,penn state,63,
2020,western michigan,64,
2020,stanford,65,16
2020,louisiana-lafayette,66,
2020,florida atlantic,67,
2020,iowa st.,68,
2020,umass,69,
2020,texas,70,
2020,lsu,71,14
2020,missouri,72,
2020,hawaii,73,
2020,colorado st.,74,
2020,arkansas,75,
2020,rutgers,76,
2020,boston college,77,
2020,pittsburgh,78,
2020,kentucky,79,
2020,bowling green,80,
2020,utah st.,81,
2020,florida,82,
2020,michigan st.,83,
2020,nevada-las vegas,84,
2020,nebraska,85,
2020,north carolina,86,
2020,baylor,87,
2020,kansas st.,88,
2020,houston,89,
2020,texas-san antonio,90,
2020,app state,91,
2020,army,92,
2020,georgia state,93,
2020,east carolina,94,
2020,mississippi state,95,
2020,illinois,96,
2020,southern miss,97,
2020,louisville,98,
2020,akron,99,
2020,northwestern,100,20
2020,northwestern,101,20
2020,south carolina,102,
2020,texas-el paso,103,
2020,florida state,104,
2020,middle tennessee,105,
2020,south alabama,106,
2020,troy university,107,
2020,tennessee,108,
2020,louisiana tech,109,
2020,navy,110,
2020,virginia,111,
2020,ole miss,112,
2020,memphis,113,18
2020,south fla.,114,
2020,temple,115,
2020,western ky.,116,
2020,kansas,117,
2020,north texas,118,
2020,texas tech,119,
2020,ga. southern,120,
2020,vanderbilt,121,
2020,georgia tech,122,
2020,arkansas state,123,
2020,tulane,124,
2020,duke,125,
2020,ulm,126,
2020,syracuse,127,
2020,texas st.,128,
2020,virginia tech,129,22
2020,north carolina state,130,24
2021,alabama,1,1
2021,georgia,2,3
2021,michigan,3,2
2021,cincinnati,4,4
2021,notre dame,5,5
2021,baylor,6,6
2021,coastal carolina,7,
2021,ohio st.,8,
2021,oklahoma state,9,
2021,pittsburgh,10,12
2021,ole miss,11,8
2021,utah,12,11
2021,north carolina state,13,18
2021,boise st.,14,
2021,minnesota,15,
2021,ucla,16,
2021,fresno st.,17,
2021,byu,18,14
2021,nevada,19,
2021,western ky.,20,
2021,oklahoma,21,13
2021,nebraska,22,
2021,colorado,23,
2021,auburn,24,
2021,toledo,25,
2021,washington,26,
2021,army,27,
2021,california,28,
2021,florida state,29,
2021,wisconsin,30,
2021,boston college,31,
2021,southern california,32,
2021,air force,33,
2021,kansas st.,34,
2021,tennessee,35,
2021,texas,36,
2021,kent state,37,
2021,ball state,38,
2021,virginia,39,
2021,west virginia,40,
2021,purdue,41,
2021,arizona state,42,
2021,iowa,43,16
2021,san diego state,44,
2021,georgia state,45,
2021,penn state,46,
2021,smu,47,
2021,liberty,48,
2021,miami,49,
2021,miami,50,
2021,san jose state,51,
2021,app state,52,
2021,marshall,53,
2021,east carolina,54,
2021,oregon state,55,
2021,iowa st.,56,
2021,western michigan,57,
2021,washington st.,58,
2021,north carolina,59,
2021,virginia tech,60,
2021,louisiana-lafayette,61,17
2021,wake forest,62,19
2021,wyoming,63,
2021,middle tennessee,64,
2021,illinois,65,
2021,houston,66,21
2021,texas tech,67,
2021,navy,68,
2021,oregon,69,15
2021,arkansas,70,24
2021,troy university,71,
2021,tcu,72,
2021,niu,73,
2021,miami,74,
2021,miami,75,
2021,south carolina,76,
2021,louisville,77,
2021,north texas,78,
2021,central michigan,79,
2021,south alabama,80,
2021,nevada-las vegas,81,
2021,utah st.,82,
2021,florida,83,
2021,tulsa,84,
2021,kentucky,85,20
2021,memphis,86,
2021,alabama-birmingham,87,
2021,eastern mich.,88,
2021,texas-el paso,89,
2021,rutgers,90,
2021,central florida,91,
2021,michigan st.,92,
2021,missouri,93,
2021,mississippi state,94,
2021,kansas,95,
2021,louisiana tech,96,
2021,arkansas state,97,
2021,ohio,98,
2021,florida atlantic,99,
2021,southern miss,100,
2021,tulane,101,
2021,ulm,102,
2021,colorado st.,103,
2021,charlotte,104,
2021,new mexico st.,105,
2021,south fla.,106,
2021,maryland,107,
2021,syracuse,108,
2021,clemson,109,22
2021,hawaii,110,
2021,bowling green,111,
2021,ga. southern,112,
2021,georgia tech,113,
2021,texas st.,114,
2021,indiana,115,
2021,vanderbilt,116,
2021,lsu,117,
2021,stanford,118,
2021,arizona,119,
2021,duke,120,
2021,texas-san antonio,121,25
2021,northwestern,122,
2021,northwestern,123,
2021,new mexico,124,
2021,buffalo,125,
2021,rice,126,
2021,texas a&m,127,23
2021,temple,128,
2021,connecticut,129,
2021,fiu,130,
2021,old dominion,131,
2021,umass,132,
2021,akron,133,
2022,georgia,1,1
2022,michigan,2,2
2022,tcu,3,3
2022,utah,4,7
2022,tennessee,5,6
2022,ohio st.,6,
2022,alabama,7,5
2022,western ky.,8,
2022,washington,9,12
2022,southern california,10,
2022,florida state,11,
2022,penn state,12,
2022,james madison,13,
2022,iowa st.,14,
2022,tulane,15,14
2022,air force,16,
2022,oregon,17,15
2022,kansas st.,18,
2022,texas a&m,19,
2022,illinois,20,
2022,app state,21,
2022,army,22,
2022,navy,23,
2022,south alabama,24,
2022,minnesota,25,
2022,fresno st.,26,
2022,new mexico st.,27,
2022,ole miss,28,
2022,toledo,29,
2022,lsu,30,16
2022,texas st.,31,
2022,virginia tech,32,
2022,niu,33,
2022,oregon state,34,
2022,virginia,35,
2022,wyoming,36,
2022,san jose state,37,
2022,boise st.,38,
2022,kentucky,39,
2022,ucla,40,18
2022,mississippi state,41,
2022,temple,42,
2022,clemson,43,10
2022,central florida,44,
2022,purdue,45,
2022,auburn,46,
2022,buffalo,47,
2022,eastern mich.,48,
2022,marshall,49,
2022,georgia tech,50,
2022,miami,51,
2022,miami,52,
2022,washington st.,53,
2022,maryland,54,
2022,west virginia,55,
2022,east carolina,56,
2022,missouri,57,
2022,iowa,58,
2022,ball state,59,
2022,cincinnati,60,
2022,liberty,61,
2022,ga. southern,62,
2022,duke,63,
2022,western michigan,64,
2022,arkansas,65,
2022,syracuse,66,
2022,louisville,67,
2022,alabama-birmingham,68,
2022,stanford,69,
2022,oklahoma,70,
2022,florida atlantic,71,
2022,miami,72,
2022,miami,73,
2022,northwestern,74,
2022,northwestern,75,
2022,smu,76,
2022,nevada-las vegas,77,
2022,southern miss,78,
2022,san diego state,79,
2022,arkansas state,80,
2022,ohio,81,
2022,texas-el paso,82,
2022,notre dame,83,19
2022,old dominion,84,
2022,boston college,85,
2022,california,86,
2022,colorado st.,87,
2022,kansas,88,
2022,georgia state,89,
2022,tulsa,90,
2022,charlotte,91,
2022,rutgers,92,
2022,texas tech,93,
2022,texas-san antonio,94,22
2022,central michigan,95,
2022,ulm,96,
2022,nebraska,97,
2022,new mexico,98,
2022,texas,99,21
2022,baylor,100,
2022,florida,101,
2022,oklahoma state,102,
2022,houston,103,
2022,north texas,104,
2022,hawaii,105,
2022,memphis,106,
2022,wake forest,107,
2022,utah st.,108,
2022,middle tennessee,109,
2022,wisconsin,110,
2022,arizona state,111,
2022,south fla.,112,
2022,umass,113,
2022,south carolina,114,20
2022,arizona,115,
2022,akron,116,
2022,louisiana-lafayette,117,
2022,vanderbilt,118,
2022,pittsburgh,119,
2022,connecticut,120,
2022,nevada,121,
2022,bowling green,122,
2022,byu,123,
2022,louisiana tech,124,
2022,michigan st.,125,
2022,rice,126,
2022,kent state,127,
2022,coastal carolina,128,
2022,fiu,129,
2022,troy university,130,23
2022,colorado,131,
2022,indiana,132,
2022,north carolina,133,25
2022,north carolina state,134,25
2023,michigan,1,1
2023,georgia,2,6
2023,washington,3,2
2023,smu,4,17
2023,oregon,5,8
2023,alabama,6,5
2023,penn state,7,
2023,missouri,8,9
2023,reclassifying,9,
2023,oklahoma,10,12
2023,texas,11,3
2023,lsu,12,13
2023,notre dame,13,15
2023,kansas st.,14,
2023,florida state,15,
2023,ole miss,16,11
2023,ucla,17,
